2026-07-31 11:41:13,522 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE099G01011/days/1/2026-07-31/2025-08-01
2026-07-31 11:41:13,663 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE099G01011/days/1/2025-07-31/2024-08-01
2026-07-31 11:41:13,741 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE099G01011/days/1/2024-07-31/2023-08-02
2026-07-31 11:41:13,833 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE099G01011/days/1/2023-08-01/2022-08-02
2026-07-31 11:41:13,965 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE099G01011/days/1/2022-08-01/2021-08-02
2026-07-31 11:43:16,858 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE099G01011/days/1/2026-07-31/2025-08-01
2026-07-31 11:43:16,963 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE099G01011/days/1/2025-07-31/2024-08-01
2026-07-31 11:43:17,049 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE099G01011/days/1/2024-07-31/2023-08-02
2026-07-31 11:43:17,158 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE099G01011/days/1/2023-08-01/2022-08-02
2026-07-31 11:43:17,254 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE099G01011/days/1/2022-08-01/2021-08-02
2026-07-31 11:46:27,619 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE099G01011/days/1/2026-07-31/2025-08-01
2026-07-31 11:46:27,781 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE099G01011/days/1/2025-07-31/2024-08-01
2026-07-31 11:46:27,848 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE099G01011/days/1/2024-07-31/2023-08-02
2026-07-31 11:46:27,928 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE099G01011/days/1/2023-08-01/2022-08-02
2026-07-31 11:46:27,988 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE099G01011/days/1/2022-08-01/2021-08-02
2026-07-31 11:47:52,758 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE099G01011/days/1/2026-07-31/2025-08-01
2026-07-31 11:47:52,943 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE099G01011/days/1/2025-07-31/2024-08-01
2026-07-31 11:47:53,125 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE099G01011/days/1/2024-07-31/2023-08-02
2026-07-31 11:47:53,255 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE099G01011/days/1/2023-08-01/2022-08-02
2026-07-31 11:47:53,312 | INFO | StockAI | GET https://api.upstox.com/v3/historical-candle/NSE_EQ|INE099G01011/days/1/2022-08-01/2021-08-02
